qid,P569,S248,s528,s813,P570,S248,s528,s813
Q2577066,+1920-11-15T00:00:00Z/11,Q51850225,"""11000558""",+2018-04-13T00:00:00Z/11,+1991-09-02T00:00:00Z/11,Q51850225,"""11000558""",+2018-04-13T00:00:00Z/11
Q2572657,+1904-03-26T00:00:00Z/11,Q51850225,"""11000559""",+2018-04-13T00:00:00Z/11,+1951-10-21T00:00:00Z/11,Q51850225,"""11000559""",+2018-04-13T00:00:00Z/11
Q71419,+1929-10-17T00:00:00Z/11,Q51850225,"""11000560""",+2018-04-13T00:00:00Z/11,+1973-08-25T00:00:00Z/11,Q51850225,"""11000560""",+2018-04-13T00:00:00Z/11
Q1511581,+1919-12-19T00:00:00Z/11,Q51850225,"""11000561""",+2018-04-13T00:00:00Z/11,+2011-09-18T00:00:00Z/11,Q51850225,"""11000561""",+2018-04-13T00:00:00Z/11
Q1593257,+1900-02-22T00:00:00Z/11,Q51850225,"""11000563""",+2018-04-13T00:00:00Z/11,+1994-10-19T00:00:00Z/11,Q51850225,"""11000563""",+2018-04-13T00:00:00Z/11
Q90823,+1922-10-08T00:00:00Z/11,Q51850225,"""11000564""",+2018-04-13T00:00:00Z/11,+2016-07-10T00:00:00Z/11,Q51850225,"""11000564""",+2018-04-13T00:00:00Z/11
Q1362931,+1909-09-24T00:00:00Z/11,Q51850225,"""11000566""",+2018-04-13T00:00:00Z/11,+1993-03-02T00:00:00Z/11,Q51850225,"""11000566""",+2018-04-13T00:00:00Z/11
Q486035,+1913-04-11T00:00:00Z/11,Q51850225,"""11000570""",+2018-04-13T00:00:00Z/11,+1995-04-26T00:00:00Z/11,Q51850225,"""11000570""",+2018-04-13T00:00:00Z/11
Q1597247,+1928-01-26T00:00:00Z/11,Q51850225,"""11000571""",+2018-04-13T00:00:00Z/11,+2004-06-26T00:00:00Z/11,Q51850225,"""11000571""",+2018-04-13T00:00:00Z/11
Q109843,+1922-08-30T00:00:00Z/11,Q51850225,"""11000573""",+2018-04-13T00:00:00Z/11,+1990-07-02T00:00:00Z/11,Q51850225,"""11000573""",+2018-04-13T00:00:00Z/11
Q1527563,+1903-06-27T00:00:00Z/11,Q51850225,"""11000574""",+2018-04-13T00:00:00Z/11,+1988-12-21T00:00:00Z/11,Q51850225,"""11000574""",+2018-04-13T00:00:00Z/11
Q1560474,+1901-01-21T00:00:00Z/11,Q51850225,"""11000575""",+2018-04-13T00:00:00Z/11,+1967-11-23T00:00:00Z/11,Q51850225,"""11000575""",+2018-04-13T00:00:00Z/11
Q1600226,+1916-08-30T00:00:00Z/11,Q51850225,"""11000576""",+2018-04-13T00:00:00Z/11,+2004-09-17T00:00:00Z/11,Q51850225,"""11000576""",+2018-04-13T00:00:00Z/11
Q2172666,+1888-09-23T00:00:00Z/11,Q51850225,"""11000577""",+2018-04-13T00:00:00Z/11,+1983-12-25T00:00:00Z/11,Q51850225,"""11000577""",+2018-04-13T00:00:00Z/11
Q2544281,+1889-08-14T00:00:00Z/11,Q51850225,"""11000578""",+2018-04-13T00:00:00Z/11,+1958-06-07T00:00:00Z/11,Q51850225,"""11000578""",+2018-04-13T00:00:00Z/11
Q1459150,+1911-05-08T00:00:00Z/11,Q51850225,"""11000579""",+2018-04-13T00:00:00Z/11,+1974-10-26T00:00:00Z/11,Q51850225,"""11000579""",+2018-04-13T00:00:00Z/11
Q75629,+1899-09-18T00:00:00Z/11,Q51850225,"""11000580""",+2018-04-13T00:00:00Z/11,+1968-07-23T00:00:00Z/11,Q51850225,"""11000580""",+2018-04-13T00:00:00Z/11
Q1110481,+1923-10-22T00:00:00Z/11,Q51850225,"""11000581""",+2018-04-13T00:00:00Z/11,+2014-09-26T00:00:00Z/11,Q51850225,"""11000581""",+2018-04-13T00:00:00Z/11
Q1734827,+1892-02-09T00:00:00Z/11,Q51850225,"""11000582""",+2018-04-13T00:00:00Z/11,+1975-11-21T00:00:00Z/11,Q51850225,"""11000582""",+2018-04-13T00:00:00Z/11
Q1903780,+1904-12-07T00:00:00Z/11,Q51850225,"""11000583""",+2018-04-13T00:00:00Z/11,+1971-11-05T00:00:00Z/11,Q51850225,"""11000583""",+2018-04-13T00:00:00Z/11
Q916269,+1924-04-25T00:00:00Z/11,Q51850225,"""11000584""",+2018-04-13T00:00:00Z/11,+2009-09-13T00:00:00Z/11,Q51850225,"""11000584""",+2018-04-13T00:00:00Z/11
Q1577298,+1904-02-26T00:00:00Z/11,Q51850225,"""11000585""",+2018-04-13T00:00:00Z/11,+1974-09-24T00:00:00Z/11,Q51850225,"""11000585""",+2018-04-13T00:00:00Z/11
Q895898,+1886-11-17T00:00:00Z/11,Q51850225,"""11000587""",+2018-04-13T00:00:00Z/11,+1972-03-11T00:00:00Z/11,Q51850225,"""11000587""",+2018-04-13T00:00:00Z/11
Q2059644,+1943-02-02T00:00:00Z/11,Q51850225,"""11000588""",+2018-04-13T00:00:00Z/11,+2015-11-15T00:00:00Z/11,Q51850225,"""11000588""",+2018-04-13T00:00:00Z/11
Q993257,+1927-05-31T00:00:00Z/11,Q51850225,"""11000590""",+2018-04-13T00:00:00Z/11,+1987-06-20T00:00:00Z/11,Q51850225,"""11000590""",+2018-04-13T00:00:00Z/11
Q797761,+1917-02-02T00:00:00Z/11,Q51850225,"""11000592""",+2018-04-13T00:00:00Z/11,+1998-06-25T00:00:00Z/11,Q51850225,"""11000592""",+2018-04-13T00:00:00Z/11
Q1600234,+1927-05-17T00:00:00Z/11,Q51850225,"""11000595""",+2018-04-13T00:00:00Z/11,+1990-08-04T00:00:00Z/11,Q51850225,"""11000595""",+2018-04-13T00:00:00Z/11
Q1611131,+1911-01-13T00:00:00Z/11,Q51850225,"""11000596""",+2018-04-13T00:00:00Z/11,+1996-01-05T00:00:00Z/11,Q51850225,"""11000596""",+2018-04-13T00:00:00Z/11
Q1871144,+1899-09-01T00:00:00Z/11,Q51850225,"""11000597""",+2018-04-13T00:00:00Z/11,+1963-10-14T00:00:00Z/11,Q51850225,"""11000597""",+2018-04-13T00:00:00Z/11
Q1536770,+1931-05-02T00:00:00Z/11,Q51850225,"""11000600""",+2018-04-13T00:00:00Z/11,+2010-10-17T00:00:00Z/11,Q51850225,"""11000600""",+2018-04-13T00:00:00Z/11
Q2544321,+1922-06-10T00:00:00Z/11,Q51850225,"""11000601""",+2018-04-13T00:00:00Z/11,+1991-01-07T00:00:00Z/11,Q51850225,"""11000601""",+2018-04-13T00:00:00Z/11
Q15810592,+1906-03-30T00:00:00Z/11,Q51850225,"""11000603""",+2018-04-13T00:00:00Z/11,+1979-02-24T00:00:00Z/11,Q51850225,"""11000603""",+2018-04-13T00:00:00Z/11
Q15423043,+1921-07-07T00:00:00Z/11,Q51850225,"""11000604""",+2018-04-13T00:00:00Z/11,+1984-09-19T00:00:00Z/11,Q51850225,"""11000604""",+2018-04-13T00:00:00Z/11
Q1277096,+1914-05-20T00:00:00Z/11,Q51850225,"""11000606""",+2018-04-13T00:00:00Z/11,+1995-09-14T00:00:00Z/11,Q51850225,"""11000606""",+2018-04-13T00:00:00Z/11
Q1600238,+1906-11-26T00:00:00Z/11,Q51850225,"""11000608""",+2018-04-13T00:00:00Z/11,+1979-10-24T00:00:00Z/11,Q51850225,"""11000608""",+2018-04-13T00:00:00Z/11
