qid,P569,S248,s528,s813
Q69677,+1943-12-12T00:00:00Z/11,Q51850225,"""11002016""",+2018-04-13T00:00:00Z/11
Q2427121,+1950-02-12T00:00:00Z/11,Q51850225,"""11002017""",+2018-04-13T00:00:00Z/11
Q1542549,+1935-07-13T00:00:00Z/11,Q51850225,"""11002018""",+2018-04-13T00:00:00Z/11
Q61307,+1949-06-13T00:00:00Z/11,Q51850225,"""11002019""",+2018-04-13T00:00:00Z/11
Q2574908,+1944-05-13T00:00:00Z/11,Q51850225,"""11002022""",+2018-04-13T00:00:00Z/11
Q2137928,+1937-01-20T00:00:00Z/11,Q51850225,"""11002026""",+2018-04-13T00:00:00Z/11
Q2737822,+1952-06-23T00:00:00Z/11,Q51850225,"""11002027""",+2018-04-13T00:00:00Z/11
Q1690448,+1949-01-27T00:00:00Z/11,Q51850225,"""11002028""",+2018-04-13T00:00:00Z/11
Q2172125,+1928-01-08T00:00:00Z/11,Q51850225,"""11002032""",+2018-04-13T00:00:00Z/11
Q1528134,+1937-05-21T00:00:00Z/11,Q51850225,"""11002035""",+2018-04-13T00:00:00Z/11
Q65545,+1936-06-09T00:00:00Z/11,Q51850225,"""11002038""",+2018-04-13T00:00:00Z/11
Q1665285,+1939-11-19T00:00:00Z/11,Q51850225,"""11002039""",+2018-04-13T00:00:00Z/11
Q967615,+1925-12-04T00:00:00Z/11,Q51850225,"""11002047""",+2018-04-13T00:00:00Z/11
Q95858,+1927-06-03T00:00:00Z/11,Q51850225,"""11002048""",+2018-04-13T00:00:00Z/11
Q2140475,+1942-10-02T00:00:00Z/11,Q51850225,"""11002049""",+2018-04-13T00:00:00Z/11
Q121258,+1953-11-10T00:00:00Z/11,Q51850225,"""11002050""",+2018-04-13T00:00:00Z/11
Q1085797,+1936-04-08T00:00:00Z/11,Q51850225,"""11002051""",+2018-04-13T00:00:00Z/11
Q1564139,+1935-06-29T00:00:00Z/11,Q51850225,"""11002054""",+2018-04-13T00:00:00Z/11
Q113325,+1948-07-04T00:00:00Z/11,Q51850225,"""11002055""",+2018-04-13T00:00:00Z/11
Q2546277,+1947-03-10T00:00:00Z/11,Q51850225,"""11002056""",+2018-04-13T00:00:00Z/11
Q1905514,+1948-09-21T00:00:00Z/11,Q51850225,"""11002060""",+2018-04-13T00:00:00Z/11
Q69112,+1937-05-23T00:00:00Z/11,Q51850225,"""11002063""",+2018-04-13T00:00:00Z/11
Q2547633,+1942-06-27T00:00:00Z/11,Q51850225,"""11002065""",+2018-04-13T00:00:00Z/11
Q1309053,+1938-04-27T00:00:00Z/11,Q51850225,"""11002066""",+2018-04-13T00:00:00Z/11
Q1444196,+1942-11-24T00:00:00Z/11,Q51850225,"""11002070""",+2018-04-13T00:00:00Z/11
Q2562529,+1941-08-17T00:00:00Z/11,Q51850225,"""11002071""",+2018-04-13T00:00:00Z/11
Q2530,+1944-04-07T00:00:00Z/11,Q51850225,"""11002078""",+2018-04-13T00:00:00Z/11
Q1629921,+1938-02-25T00:00:00Z/11,Q51850225,"""11002080""",+2018-04-13T00:00:00Z/11
Q2150548,+1943-12-26T00:00:00Z/11,Q51850225,"""11002083""",+2018-04-13T00:00:00Z/11
Q1527358,+1948-08-16T00:00:00Z/11,Q51850225,"""11002086""",+2018-04-13T00:00:00Z/11
Q98351,+1954-10-26T00:00:00Z/11,Q51850225,"""11002087""",+2018-04-13T00:00:00Z/11
Q1602291,+1939-08-02T00:00:00Z/11,Q51850225,"""11002090""",+2018-04-13T00:00:00Z/11
Q1223560,+1943-10-21T00:00:00Z/11,Q51850225,"""11002093""",+2018-04-13T00:00:00Z/11
Q916655,+1943-09-26T00:00:00Z/11,Q51850225,"""11002099""",+2018-04-13T00:00:00Z/11
Q1222818,+1941-06-09T00:00:00Z/11,Q51850225,"""11002100""",+2018-04-13T00:00:00Z/11
Q2337616,+1957-02-03T00:00:00Z/11,Q51850225,"""11002102""",+2018-04-13T00:00:00Z/11
Q1604179,+1953-01-17T00:00:00Z/11,Q51850225,"""11002104""",+2018-04-13T00:00:00Z/11
Q1079671,+1944-01-09T00:00:00Z/11,Q51850225,"""11002105""",+2018-04-13T00:00:00Z/11
Q1512521,+1948-05-09T00:00:00Z/11,Q51850225,"""11002106""",+2018-04-13T00:00:00Z/11
Q95269,+1950-01-22T00:00:00Z/11,Q51850225,"""11002108""",+2018-04-13T00:00:00Z/11
Q2541384,+1930-07-09T00:00:00Z/11,Q51850225,"""11002110""",+2018-04-13T00:00:00Z/11
Q1468342,+1948-12-08T00:00:00Z/11,Q51850225,"""11002114""",+2018-04-13T00:00:00Z/11
Q74226,+1942-04-05T00:00:00Z/11,Q51850225,"""11002120""",+2018-04-13T00:00:00Z/11
Q1100075,+1947-12-31T00:00:00Z/11,Q51850225,"""11002121""",+2018-04-13T00:00:00Z/11
Q1360170,+1948-12-05T00:00:00Z/11,Q51850225,"""11002122""",+2018-04-13T00:00:00Z/11
